 X,Y,Z,T,T_a
0.0004,0.0074,0.0,364.254,364.24845799216985
0.0004,0.0075,0.0,363.991,363.9854869492566
0.0004,0.0076,0.0,363.702,363.69700413743453
0.0004,0.0077,0.0,363.385,363.37993037596084
0.0004,0.0078,0.0,363.036,363.03064560108004
0.0004,0.0079,0.0,362.65,362.64486880095865
0.0004,0.008,0.0,362.222,362.2175047896786
0.0004,0.0081,0.0,361.747,361.74244683786503
0.0004,0.0082,0.0,361.217,361.2123199083202
0.0004,0.0083,0.0,360.622,360.6181430690632
0.0004,0.0084,0.0,359.953,359.9488806159308
0.0004,0.0085,0.0,359.195,359.1908380492698
0.0004,0.0086,0.0,358.331,358.32683900516247
0.0004,0.0087,0.0,357.339,357.33508894714555
0.0004,0.0088,0.0,356.191,356.18758534590893
0.0004,0.0089,0.0,354.851,354.84786396089737
0.0004,0.009,0.0,353.271,353.2677653581373
0.0004,0.0091,0.0,351.385,351.38275277196334
0.0004,0.0092,0.0,349.107,349.1051111932526
0.0004,0.0093,0.0,346.316,346.31416602329375
0.0004,0.0094,0.0,342.844,342.84275070724846
0.0004,0.0095,0.0,338.461,338.4604892696701
0.0004,0.0096,0.0,332.861,332.8599404295501
0.0004,0.0097,0.0,325.673,325.66827325886436
0.0004,0.0098,0.0,316.554,316.5434353722664
0.0004,0.0099,0.0,305.452,305.4416999076997
0.0004,0.01,0.0,293.0,293.00000000000006
0.0005,0.0,0.0,293.0,293.0
0.0005,0.0001,0.0,303.014,303.009612568522
0.0005,0.0002,0.0,312.297,312.291682330458
0.0005,0.0003,0.0,320.397,320.39224949080403
0.0005,0.0004,0.0,327.192,327.1893622635101
0.0005,0.0005,0.0,332.783,332.7811581935196
0.0005,0.0006,0.0,337.356,337.3543628369688
0.0005,0.0007,0.0,341.106,341.10381707756
0.0005,0.0008,0.0,344.202,344.19921445503843
0.0005,0.0009,0.0,346.781,346.7774892678085
0.0005,0.001,0.0,348.949,348.94553623436934
0.0005,0.0011,0.0,350.79,350.785787602878
0.0005,0.0012,0.0,352.366,352.36172412329853
0.0005,0.0013,0.0,353.727,353.72244421099566
0.0005,0.0014,0.0,354.911,354.9061995182282
0.0005,0.0015,0.0,355.948,355.94305082392617
0.0005,0.0016,0.0,356.862,356.8568405628586
0.0005,0.0017,0.0,357.672,357.6666549746834
0.0005,0.0018,0.0,358.393,358.38791136431655
0.0005,0.0019,0.0,359.039,359.0331714350286
0.0005,0.002,0.0,359.619,359.6127542741717
0.0005,0.0021,0.0,360.141,360.1352021554736
0.0005,0.0022,0.0,360.614,360.6076375202782
0.0005,0.0023,0.0,361.042,361.036038898027
0.0005,0.0024,0.0,361.432,361.42545595959297
0.0005,0.0025,0.0,361.787,361.7801784901918
0.0005,0.0026,0.0,362.111,362.1038701893534
0.0005,0.0027,0.0,362.406,362.3996754062557
0.0005,0.0028,0.0,362.677,362.6703048852978
0.0005,0.0029,0.0,362.925,362.91810510890514
0.0005,0.003,0.0,363.152,363.14511472767174
0.0005,0.0031,0.0,363.36,363.35311075314866
0.0005,0.0032,0.0,363.551,363.5436465787745
0.0005,0.0033,0.0,363.725,363.71808343463863
0.0005,0.0034,0.0,363.885,363.8776165325568
0.0005,0.0035,0.0,364.031,364.0232968908289
